CustomerID,Gender,Age,Annual_Income_k,Spending_Score,Gender_Code,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,PCA_1,PCA_2,Persona_Name
1,Male,19,15,39,1,4,4,0,-0.40638271515795965,-0.5207136347541576,Budget Seekers (Sensible)
2,Male,21,15,81,1,2,3,0,-1.4276728699542163,-0.36731019850643964,Impulsive Trendsetters (Youth)
3,Female,20,16,6,0,4,4,1,0.05076057064984757,-1.894067743173411,Budget Seekers (Sensible)
4,Female,23,16,77,0,2,3,0,-1.6945131001694194,-1.6319080463761053,Impulsive Trendsetters (Youth)
5,Female,31,17,40,0,4,4,0,-0.31310838264528634,-1.8104827229475466,Budget Seekers (Sensible)
6,Female,22,17,76,0,2,3,0,-1.7174462723869508,-1.599264180338639,Impulsive Trendsetters (Youth)
7,Female,35,18,6,0,4,4,1,0.7908211244257632,-1.9472711231346171,Budget Seekers (Sensible)
8,Female,23,18,94,0,2,3,-1,-2.1483215883542015,-1.5053736875274266,Impulsive Trendsetters (Youth)
9,Male,64,19,3,1,4,4,1,2.7742862260886656,-0.8829876717475621,Budget Seekers (Sensible)
10,Female,30,19,72,0,2,3,0,-1.2162947672439113,-1.616404641306945,Impulsive Trendsetters (Youth)
11,Male,67,19,14,1,4,4,1,2.629050844956017,-0.8612370431432262,Budget Seekers (Sensible)
12,Female,35,19,99,0,2,3,-1,-1.6894703776419486,-1.545427839338512,Impulsive Trendsetters (Youth)
13,Female,58,20,15,0,4,4,1,1.685822526686192,-2.0239447888163236,Budget Seekers (Sensible)
14,Female,24,20,77,0,2,3,0,-1.6460733883910454,-1.5225125897317784,Impulsive Trendsetters (Youth)
15,Male,37,20,13,1,4,4,1,1.174436276965028,-0.6127909605390206,Budget Seekers (Sensible)
16,Male,22,20,79,1,2,3,0,-1.326130701573075,-0.23671914937154362,Impulsive Trendsetters (Youth)
17,Female,35,21,35,0,4,4,0,0.016772825250203825,-1.7434457225503428,Budget Seekers (Sensible)
18,Male,20,21,66,1,2,3,0,-1.078424539845471,-0.24471564122899062,Impulsive Trendsetters (Youth)
19,Male,52,23,29,1,4,4,0,1.4875878004377254,-0.5726760275517663,Budget Seekers (Sensible)
20,Female,35,23,98,0,2,3,-1,-1.6637316850276522,-1.4325977447537206,Impulsive Trendsetters (Youth)
21,Male,35,24,35,1,4,4,0,0.4880903105484107,-0.3929211449928961,Budget Seekers (Sensible)
22,Male,25,24,73,1,2,3,0,-1.0189505128416627,-0.16624751103387528,Impulsive Trendsetters (Youth)
23,Female,46,25,5,0,4,4,1,1.358914921793769,-1.8286693574393076,Budget Seekers (Sensible)
24,Male,31,25,73,1,2,3,0,-0.7229727219419871,-0.18168701739895723,Impulsive Trendsetters (Youth)
25,Female,54,28,14,0,4,4,1,1.5131593111179211,-1.7645119588688019,Budget Seekers (Sensible)
26,Male,29,28,82,1,2,3,0,-1.0624115725397167,-0.04311506139164468,Impulsive Trendsetters (Youth)
27,Female,45,28,32,0,4,4,0,0.5888329082822419,-1.6254161367177848,Budget Seekers (Sensible)
28,Male,35,28,61,1,2,3,0,-0.20618822719627125,-0.17190696972126832,Impulsive Trendsetters (Youth)
29,Female,40,29,31,0,4,4,0,0.3684264400959578,-1.5630064477055958,Budget Seekers (Sensible)
30,Female,23,29,87,0,2,3,0,-1.9642041381454183,-1.2121199030829193,Impulsive Trendsetters (Youth)
31,Male,60,30,4,1,4,4,1,2.5475919417038138,-0.5279135219026027,Budget Seekers (Sensible)
32,Female,21,30,73,0,2,3,0,-1.689830671589704,-1.2241232127435824,Impulsive Trendsetters (Youth)
33,Male,53,33,4,1,4,4,1,2.2013172145981357,-0.38819564740583246,Budget Seekers (Sensible)
34,Male,18,33,92,1,2,3,-1,-1.8732969500021577,0.2248552703060134,Impulsive Trendsetters (Youth)
35,Female,49,33,14,0,4,4,1,1.2651569258897128,-1.5812585396653893,Budget Seekers (Sensible)
36,Female,21,33,81,0,2,3,0,-1.903865569374947,-1.1044409860268474,Impulsive Trendsetters (Youth)
37,Female,42,34,17,0,4,4,0,0.8393445904066109,-1.4879386679529742,Budget Seekers (Sensible)
38,Female,30,34,73,0,2,3,0,-1.2464443678738244,-1.174259402048701,Impulsive Trendsetters (Youth)
39,Female,36,37,26,0,4,4,0,0.30243244384012835,-1.3196008889709392,Budget Seekers (Sensible)
40,Female,20,37,75,0,2,3,0,-1.7941586766122875,-1.0042035247144563,Impulsive Trendsetters (Youth)
41,Female,65,38,35,0,4,4,0,1.4938759431071396,-1.4701325172117312,Budget Seekers (Sensible)
42,Male,24,38,92,1,2,3,-1,-1.5782477713162961,0.3262526763289388,Impulsive Trendsetters (Youth)
43,Male,48,39,36,1,4,4,0,1.0997289218169441,-0.047514830402500714,Budget Seekers (Sensible)
44,Female,31,39,61,0,0,2,0,-0.8782291512115803,-1.0837365309459663,Moderate Mainstream (Standard)
45,Female,49,39,28,0,4,4,0,0.8904217399754472,-1.3499077218383517,Budget Seekers (Sensible)
46,Female,24,39,65,0,2,2,0,-1.3304766384693385,-1.015619069527337,Impulsive Trendsetters (Youth)
47,Female,50,40,55,0,0,2,0,0.21954068055520362,-1.219955868798194,Moderate Mainstream (Standard)
48,Female,27,40,47,0,0,2,0,-0.7025923326402423,-1.080856929119268,Moderate Mainstream (Standard)
49,Female,29,40,42,0,0,2,0,-0.4705191605153144,-1.1157739296227103,Moderate Mainstream (Standard)
50,Female,31,40,42,0,0,2,0,-0.3717825125309381,-1.1306568411100717,Moderate Mainstream (Standard)
51,Female,49,42,52,0,0,2,0,0.24970996494043932,-1.1661164102701582,Moderate Mainstream (Standard)
52,Male,33,42,60,1,0,2,0,-0.28150771310088674,0.24789831732090292,Moderate Mainstream (Standard)
53,Female,31,43,54,0,0,2,0,-0.6924866296286222,-0.9949473431804721,Moderate Mainstream (Standard)
54,Male,59,43,60,1,0,2,0,1.0018365576425527,0.0836296960822076,Moderate Mainstream (Standard)
55,Female,50,43,45,0,0,2,0,0.4855172696759461,-1.17239636253935,Moderate Mainstream (Standard)
56,Male,47,43,41,1,0,2,0,0.9160954614703902,0.09679762674526826,Moderate Mainstream (Standard)
57,Female,51,44,50,0,0,2,0,0.40131691647412915,-1.130594501169948,Moderate Mainstream (Standard)
58,Male,69,44,46,1,0,2,0,1.8686299121045251,-0.017671082502623617,Moderate Mainstream (Standard)
59,Female,27,46,51,0,0,2,0,-0.8106544702734048,-0.8895742893243923,Moderate Mainstream (Standard)
60,Male,53,46,46,1,0,2,0,1.0782724221226072,0.15981066559027066,Moderate Mainstream (Standard)
61,Male,70,46,56,1,0,2,0,1.6508608817087032,0.07337409597986111,Moderate Mainstream (Standard)
62,Male,19,46,55,1,0,2,0,-0.840256337064784,0.44888152110435886,Moderate Mainstream (Standard)
